pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
3,,3,,,1000010001,,,3,3,3,,0,0,1,0,1,2,,,,,1,,,3,10,,,10000100,83,,0,0,0,450,0,7138.92,1,,16,,,0,,0,0,3,0,0,3,3,0,2,0,0,3,0,1,0,0,0,2,1,74.0989,0,0,48,,1,12,2,0,0,0,0,0,1,71,0
2,,3,,,1000030001,,1000030002,5,1,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10000300,12,,0,0,0,600,0,9447.79,1,,,,,0,,,0,3,0,0,1,3,0,1,0,0,1,0,1,0,0,0,2,1,48.76839,0,0,40,,3,12,2,0,0,0,0,0,2,80,0
2,,3,,,1000030002,,1000030001,3,1,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10000300,51,,0,0,0,600,0,7524.48,1,,32,,,0,,0,0,1,0,0,2,3,0,1,0,0,1,0,1,0,0,0,2,2,48.76839,0,0,45,,1,12,2,0,0,0,0,0,3,71,0
1,,3,,,1000070001,,,3,1,3,,0,0,1,0,1,,,,,,2,,,1,10,,,10000700,26,,0,0,0,700,0,0,1,,88,,,0,,30,0,1,0,0,3,2,0,2,0,0,3,0,1,0,0,0,2,2,280.97002,0,0,30,,1,0,2,0,0,12,0,0,4,55,0
1,60,1,,,1000070002,,,,1,,,0,0,1,0,1,,,,,1000070001,2,,,1,10,,,10000700,,,0,0,0,344,139.8,0,1,,,,,0,,0,0,1,0,0,3,5,0,2,0,3606.31,3,0,1,0,101.12,4659.91,1,2,280.97002,0,0,,,1,0,2,0,12,0,0,0,5,22,0
,,,,,1000070003,,,,,,,,,1,,,,,,,1000070001,,,,,10,,,10000700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,280.97002,,,,,,,,,,,,,6,13,
5,,,,,1000120001,,,2,1,,3,0,0,1,0,1,,,,1,,1,,21,3,10,40,,10001200,,26,0,0,0,600,0,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,2,0,27285.23,3,0,1,0,653.94,45099.58,2,2,103.90229,0,0,40,,1,0,2,0,0,0,0,0,7,59,0
4,,3,,,1000130001,,,3,1,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10001300,26,,0,593.36,0,700,0,7276.32,1,,,,,0,,,0,1,0,0,3,3,0,2,272.58,0,3,0,1,272.58,0,0,2,2,87.59885,0,0,33,,3,12,2,0,0,0,0,0,8,83,0
3,,,,,1000160001,,,2,2,,3,0,0,1,0,1,2,,,2,,2,,21,1,10,20,,10001600,,,0,0,0,700,1731.91,0,1,,,,90,0,1,0,12,1,0,0,3,1,0,2,0,35366.66,3,0,1,0,1021.83,58280.06,2,2,78.69573,0,0,42,,1,0,2,0,0,0,0,0,9,59,0
4,,3,,,1000170001,,,4,1,3,,0,0,1,0,3,,,,,,1,,,3,10,,,10001700,26,,0,418.68,0,700,0,6553.44,1,,,,,0,,,0,3,0,0,2,3,0,2,0,0,3,0,1,0,0,0,2,2,89.97139,0,0,35,,3,12,,0,0,0,0,0,10,87,0
4,,3,,,1000190001,,,4,3,3,,0,0,1,0,3,,,,,,1,,,3,10,,,10001900,23,,0,418.68,0,700,0,8795.52,1,,,,,0,,,0,3,0,0,2,3,0,2,0,0,3,0,1,0,0,0,2,1,134.26023,0,0,47,,3,12,,0,0,0,0,0,11,88,0
1,,,,,1000200001,,,1,1,,2,0,0,1,0,1,2,,,1,,2,,,1,10,40,,10002000,,,0,0,0,600,1859.97,0,1,,,,49,0,,0,0,1,12,0,3,1,0,2,0,37509.33,3,0,1,0,1097.38,61998.91,2,2,232.32693,0,0,11,,1,0,2,0,0,0,0,0,12,30,0
1,,,,,1000220001,,,2,1,,3,0,0,1,0,1,,,,1,,2,,21,3,10,40,,10002200,,83,0,0,0,350,359.9,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,2,0,8596.95,3,0,1,0,212.34,11996.6,2,1,376.86106,0,0,23,,1,0,,0,0,0,0,0,13,43,0
1,,,,2,1000230001,,,2,3,,2,0,0,1,0,1,2,,,2,,,,,1,10,16,,10002300,,23,0,0,0,700,0,0,3,,,,85,0,,24,0,1,0,3113.08,3,1,12,2,20036.5,0,3,3113.08,1,25481,0,0,2,1,321.53939,0,0,7,,1,0,1,0,0,0,0,0,14,36,0
1,,3,,,1000240001,,,4,1,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10002400,22,,0,0,0,600,0,13265.07,1,,,,,0,,,0,1,0,0,2,3,0,2,0,0,3,0,1,0,0,0,2,2,85.96219,0,0,44,,1,12,2,0,0,0,0,0,15,80,0
4,,,,,1000250001,,,3,1,,2,0,0,1,0,1,2,,,2,,2,,,1,10,7,,10002500,,73,0,418.68,0,450,0,5634.96,1,,,,14,0,,0,0,1,0,0,3,1,12,2,733.4,0,3,0,1,750,0,0,2,2,94.49629,0,0,43,,1,0,2,0,0,0,0,0,16,74,0
1,,3,,,1000270001,,,1,1,3,,0,12,1,0,1,,,,,,2,,,1,10,,,10002700,12,,0,0,0,700,0,0,1,,58,,,0,,0,0,1,0,0,3,8,0,2,0,0,3,0,1,0,0,0,2,2,179.24803,0,0,20,,1,0,,0,0,0,0,0,17,41,0
,,,0,,1000270002,30,,,,,,,,1,,,,0,,,1000270001,,,,,10,,,10002700,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,1,179.24803,,,,0,,,,,,,,,18,8,
,,,0,,1000270003,,,,,,,,,1,,,,0,,,1000270001,,15,,,10,,,10002700,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,1,179.24803,,,,0,,,,,,,,,19,1,
2,,3,,2,1000280001,,1000280003,2,1,2,,0,0,1,0,1,,,,,,1,,,2,10,,,10002800,34,,0,0,0,600,22.68,0,1,,74,,,0,,8,0,2,0,0,2,6,0,1,987.9,966,1,0,1,1200,21.24,1200,2,2,757.92605,0,12,1,,1,0,1,0,0,0,0,0,20,28,0
,,,0,,1000280002,,,,,,,,,1,,,,0,,,1000280001,,40,,,10,,1000280003,10002800,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,2,757.92605,,,,0,,,,,,,,,21,4,
2,,,,,1000280003,,1000280001,3,1,,3,0,0,1,0,1,,,10,1,,1,,21,2,10,32,,10002800,,33,0,0,0,600,0,0,2,,,,72,12,2,0,0,2,0,0,3,1,0,1,0,14375.46,1,0,1,0,332.45,23044.17,2,1,757.92605,0,0,7,,1,0,2,0,0,0,0,0,22,27,0
,,,0,,1000280004,,,,,,,,,1,,,,0,,,1000280001,,,,,10,,1000280003,10002800,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,1,757.92605,,,,,,,,,,,,,23,0,
5,,3,,,1000290002,,,3,1,3,,0,0,1,0,1,,,,,,2,,,1,10,,,10002900,22,,0,0,0,600,0,9600,1,,47,,,0,,0,0,1,0,0,3,3,0,2,0,21786.44,3,0,1,0,760.7,35723.63,2,2,43.24338,0,0,42,,1,12,2,0,0,0,467.47,0,24,68,569.6
2,,,,,1000300001,,1000300002,2,1,,3,0,0,1,0,1,,,,1,,2,,21,1,10,40,,10003000,,11,0,0,0,600,1600,0,1,,,,20,12,2,0,0,1,0,0,3,1,0,1,13551.26,61456.18,1,0,1,19606.48,1798.02,101581.93,2,1,214.14757,0,0,10,,1,0,,0,0,0,0,0,25,33,0
2,,,,,1000300002,,1000300001,,1,,3,0,7,1,0,1,2,,,1,,2,,21,1,10,40,,10003000,,12,0,0,0,600,1600,0,1,,,,80,5,1,0,0,1,0,0,3,1,0,1,0,35100,1,0,1,0,604.17,47607.75,2,2,214.14757,0,0,7,,1,0,,0,0,0,0,0,26,30,0
,,,0,,1000300003,,,,,,,,,1,,,,0,,,1000300002,,40,,,10,,1000300001,10003000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,1,214.14757,,,,10,,,,,,,,,27,2,
,,,0,,1000300004,,,,,,,,,1,,,,0,,,1000300002,,40,,,10,,1000300001,10003000,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,2,214.14757,,,,10,,,,,,,,,28,4,
2,,,,,1000310001,,1000310002,3,3,,3,0,0,1,0,1,2,,,1,,2,,21,3,10,40,,10003100,,21,0,0,0,700,0,0,1,,,,81,12,2,0,0,2,0,0,3,1,0,1,0,8400,1,0,1,0,242.6,13814.01,2,2,121.59641,0,0,14,,1,0,2,0,0,0,510.9,0,29,36,646.72
2,,,,,1000310002,,1000310001,,3,,3,0,0,1,0,1,2,,,1,,2,,21,3,10,45,,10003100,,21,0,0,0,700,81,0,1,,,,18,12,2,0,0,3,0,628.32,3,1,0,1,0,30246.36,1,628.32,1,0,884.9,49994.01,2,1,121.59641,0,0,14,,1,0,,0,0,0,0,628.32,30,36,0
,,,0,,1000310003,24,,,,,,,,1,,,,0,,,1000310001,,,,,10,,1000310002,10003100,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,121.59641,,,,16,,,,,,,,,31,7,
,,,0,,1000310004,,,,,,,,,1,,,,0,,,1000310001,,40,,,10,,1000310002,10003100,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,121.59641,,,,0,,,,,,,,,32,5,
4,,3,,,1000350001,,,4,2,3,,0,0,1,0,3,,,,,,1,,,2,10,,,10003500,91,,0,0,0,200,0,7753.02,3,,,,,0,,,0,1,0,0,1,3,0,2,0,0,3,0,1,0,0,0,2,2,89.05961,0,0,42,,3,12,2,0,0,0,0,0,33,83,0
